Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet,Purchase Link
Li-ion BMS Battery Protection,1,Li-ion BMS Battery Protection,,,,,,https://www.aliexpress.us/item/3256811824864401.html?spm=a2g0o.productlist.main.1.63c641HO41HOtb&algo_pvid=6e9e77f1-254e-4359-a9e3-c4e90a9f7eca&algo_exp_id=6e9e77f1-254e-4359-a9e3-c4e90a9f7eca-0&pdp_ext_f=%7B%22order%22%3A%222500%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005012011179153%22%2C%22orig_item_id%22%3A%221005006685629323%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.20%211.60%21%21%2121.60%2110.80%21%402101e81117843355470177418e0f35%2112000058920183055%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A29a6d518%3Bm03_new_user%3A-29895&curPageLogUid=nS01XMH72dio&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012011179153%7C_p_origin_prod%3A1005006685629323
Micro JST PH 1.25 2 PIN Male Plug Connector,1,Micro JST PH 1.25 2 PIN Male Plug Connector,,,,,,https://www.aliexpress.us/item/3256806436736526.html?spm=a2g0o.productlist.main.4.3f4bxFXGxFXGkL&aem_p4p_detail=202607161319281670175546710250012418633&algo_pvid=099e70b4-1fad-47d1-846a-1664832a2df1&algo_exp_id=099e70b4-1fad-47d1-846a-1664832a2df1-3&pdp_ext_f=%7B%22order%22%3A%22229%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.32%210.99%21%21%212.32%210.99%21%402101ca9517842331680506170e0e0b%2112000037851328743%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A29a6d518%3Bm03_new_user%3A-29895%3BpisId%3A5000000210788678&curPageLogUid=qEtVOm34dcfy&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006623051278%7C_p_origin_prod%3A&search_p4p_id=202607161319281670175546710250012418633_1
30 AWG Wire,1,30 AWG Wire,,,,,,https://www.aliexpress.us/item/3256801404161291.html?spm=a2g0o.productlist.main.8.22ff13f0Xftsd7&aem_p4p_detail=20260716132241790750053292800012659709&algo_pvid=88503d2b-045e-4556-ab86-1a6172275a30&algo_exp_id=88503d2b-045e-4556-ab86-1a6172275a30-7&pdp_ext_f=%7B%22order%22%3A%2213991%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.10%213.07%21%21%214.10%213.07%21%402103119c17842333610543879e0ee2%2112000016706302458%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A29a6d518%3Bm03_new_user%3A-29895%3BpisId%3A5000000212351879&curPageLogUid=sPUHwTLGPE0E&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005001590476043%7C_p_origin_prod%3A&search_p4p_id=20260716132241790750053292800012659709_2
Base Station ESP32,1,ESP32-S3,,,,,,https://www.aliexpress.us/item/3256807155434553.html?spm=a2g0o.productlist.main.12.5c133c90yfYk3x&aem_p4p_detail=202607170529073794437719401280012749900&algo_pvid=830f4ee8-2568-478b-8335-900df02f412a&algo_exp_id=830f4ee8-2568-478b-8335-900df02f412a-11&pdp_ext_f=%7B%22order%22%3A%222007%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2118.64%217.65%21%21%21125.66%2151.52%21%4021030f8317842913470891216e0f8f%2112000056624050056%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A29a6d518%3Bm03_new_user%3A-29895&curPageLogUid=kWQVgJs1i7pD&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007341749305%7C_p_origin_prod%3A&search_p4p_id=202607170529073794437719401280012749900_3
USB-C Charging Cable,1,USB-C Charging Cable,,,,,,https://www.aliexpress.us/item/3256807113016818.html?spm=a2g0o.productlist.main.7.28336IYk6IYkS3&algo_pvid=ec9a7deb-8c98-49a7-a297-837b3477f636&algo_exp_id=ec9a7deb-8c98-49a7-a297-837b3477f636-6&pdp_ext_f=%7B%22order%22%3A%222560%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.01%210.99%21%21%2120.33%216.67%21%402101e75417843366191154011e1cb8%2112000045641533579%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A29a6d518%3Bm03_new_user%3A-29895%3BpisId%3A5000000210788688&curPageLogUid=M8g1Yn1VT4Vm&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007299331570%7C_p_origin_prod%3A
Kapton Tape,1,Kapton Tape,,,,,,https://www.aliexpress.us/item/3256810334039048.html?spm=a2g0o.cart.0.0.604838day1WEZB&mp=1&pdp_npi=6%40dis%21USD%21USD+4.98%21USD+4.98%21%21USD+4.98%21%21%21%402101e80b17843442063193245e10b5%2112000052680244168%21ct%21US%21-1%21%211%210%21&_gl=1*n3wywi*_gcl_aw*R0NMLjE3ODQyNTQ1MjIuQ2owS0NRandndUxTQmhETEFSSXNBSC15UHJHT2hNZWJickY5MFFWNTJmQlNVUEV5dDNmbzAxQTdJRW9NVGpQUVJPZWNPeVM5Z3lZcTNPVWFBdW5LRUFMd193Y0I.*_gcl_dc*R0NMLjE3ODQyNTQ1MjIuQ2owS0NRandndUxTQmhETEFSSXNBSC15UHJHT2hNZWJickY5MFFWNTJmQlNVUEV5dDNmbzAxQTdJRW9NVGpQUVJPZWNPeVM5Z3lZcTNPVWFBdW5LRUFMd193Y0I.*_gcl_au*Njk1NDIwODE5LjE3ODQyMDkyNjg.*_ga*OTc2NTMyODkzLjE3ODQzMzY1NzA.*_ga_VED1YSGNC7*czE3ODQzNDQxMjckbzIkZzEkdDE3ODQzNDQyNDIkajUwJGwwJGgw&gatewayAdapt=glo2usa
Foam Tape,1,Foam Tape,,,,,,https://www.aliexpress.us/item/3256808548405172.html?spm=a2g0o.cart.0.0.604838day1WEZB&mp=1&pdp_npi=6%40dis%21USD%21USD+1.45%21USD+1.45%21%21USD+1.45%21%21%21%402101e80b17843442063193245e10b5%2112000046447612420%21ct%21US%21-1%21%211%210%21&_gl=1*cbqqba*_gcl_aw*R0NMLjE3ODQyNTQ1MjIuQ2owS0NRandndUxTQmhETEFSSXNBSC15UHJHT2hNZWJickY5MFFWNTJmQlNVUEV5dDNmbzAxQTdJRW9NVGpQUVJPZWNPeVM5Z3lZcTNPVWFBdW5LRUFMd193Y0I.*_gcl_dc*R0NMLjE3ODQyNTQ1MjIuQ2owS0NRandndUxTQmhETEFSSXNBSC15UHJHT2hNZWJickY5MFFWNTJmQlNVUEV5dDNmbzAxQTdJRW9NVGpQUVJPZWNPeVM5Z3lZcTNPVWFBdW5LRUFMd193Y0I.*_gcl_au*Njk1NDIwODE5LjE3ODQyMDkyNjg.*_ga*OTc2NTMyODkzLjE3ODQzMzY1NzA.*_ga_VED1YSGNC7*czE3ODQzNDQxMjckbzIkZzEkdDE3ODQzNDQyMzUkajU3JGwwJGgw&gatewayAdapt=glo2usa
uPen PCB Board,1,uPen PCB Board,,,,,,https://github.com/TheAbsoluteMin/u-pen/blob/main/fabrication/Gerber_Files.zip
uPen 3D Printed Top Case,1,uPen 3D Printed Top Case,,,,,,https://github.com/TheAbsoluteMin/u-pen/blob/main/3D_Models/uPen_Top_Pen_Case_PRINT.stl
uPen 3D Printed Bottom Case,1,uPen 3D Printed Bottom Case,,,,,,https://github.com/TheAbsoluteMin/u-pen/blob/main/3D_Models/uPen_Bottom_Pen_Case_PRINT.stl
uPen 3D Printed Tip Extension,1,uPen 3D Printed Tip Extension,,,,,,https://github.com/TheAbsoluteMin/u-pen/blob/main/3D_Models/uPen_Pen_Tip_Extension_PRINT.stl
